level,infinitive,source_id,source_name,source_url,license,notes
A1,gratulieren,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,grillen,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,haben,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,haben,cukowski_wordsA1.txt,GermanWordListByLevel,https://github.com/Cukowski/GermanWordListByLevel,Unknown,Needs license confirmation
A1,halten,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,heiraten,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,heißen,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,heißen,cukowski_wordsA1.txt,GermanWordListByLevel,https://github.com/Cukowski/GermanWordListByLevel,Unknown,Needs license confirmation
A1,helfen,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,holen,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,hören,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,kaufen,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
A1,kaufen,cukowski_wordsA1.txt,GermanWordListByLevel,https://github.com/Cukowski/GermanWordListByLevel,Unknown,Needs license confirmation
A1,kennen,goethe_a1_2018,Goethe-Zertifikat A1 Wortliste (2018),https://raw.githubusercontent.com/harrymatthews50/ich_lerne_deutsch/main/data/Goethe_A1_Wordlist.csv,MIT,Derived from Goethe official vocabulary export
